case,n,backend,status,validation,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,intervals,simplices,reason
grid_h1_64,64,cocycle,completed,passed,0.698252,0.6874210000000001,0.705136,1.0,1336,2716,1380,113,,
grid_h1_64,64,ripser_py,completed,passed,1.648994,1.646363,1.669225,0.4234412011201981,116360,116940,580,113,,
grid_h1_144,144,gudhi_edge_collapse,completed,passed,14.053489,13.974015,14.505923,0.34746552973428874,41504,43000,1496,265,779,
grid_h1_144,144,ripser_py,completed,passed,12.029211,11.956603,12.063745,0.40593709762011826,117080,118624,1544,265,,
grid_h1_144,144,gudhi_simplex_tree,completed,passed,147.140713,146.600377,147.990072,0.033186620483482365,41588,72300,30712,265,497784,
grid_h1_144,144,cocycle,completed,passed,4.883103,4.778206999999999,5.034153000000001,1.0,1368,3520,2152,265,,
grid_h1_256,256,gudhi_simplex_tree,completed,passed,1161.378029,1155.506106,1196.44103,0.016830705000361258,41876,210032,167940,481,2796416,
grid_h1_256,256,ripser_py,completed,passed,55.525727,55.489426,55.683124,0.3520316086991531,117508,121896,4388,481,,
grid_h1_256,256,cocycle,completed,passed,19.546811,19.04159,22.152010999999998,1.0,2740,6208,3288,481,,
grid_h1_256,256,gudhi_edge_collapse,completed,passed,84.268928,84.009888,84.497318,0.231957513450272,42052,46756,4488,481,1449,
bipartite_h1_64,64,gudhi_edge_collapse,completed,passed,1.570614,1.551491,1.601801,1.351488016788339,41200,42500,1300,1025,2179,
bipartite_h1_64,64,cocycle,completed,passed,2.122666,2.114233,2.137914,1.0,1316,2792,1476,1025,,
bipartite_h1_64,64,gudhi_simplex_tree,completed,passed,9.772108,9.464774,9.794614,0.21721679703089652,40864,44564,3700,1025,43744,
bipartite_h1_64,64,ripser_py,completed,passed,7.348051,7.312873,7.348218,0.2888746961609276,116796,117376,580,1025,,
bipartite_h1_64_cutoff,64,ripser_py,completed,passed,0.811623,0.765906,0.815011,0.8020361670381445,116632,117212,580,1025,,
bipartite_h1_64_cutoff,64,gudhi_simplex_tree,completed,passed,0.539779,0.533487,0.572062,1.2059583644417435,41044,42080,1036,1025,1088,
bipartite_h1_64_cutoff,64,cocycle,completed,passed,0.650951,0.6499980000000001,0.657389,1.0,1280,2420,1140,1025,,
bipartite_h1_64_cutoff,64,gudhi_edge_collapse,completed,passed,0.789259,0.783426,0.801571,0.8247622136713042,40844,41964,1120,1025,1088,
bipartite_h1_128,128,gudhi_simplex_tree,completed,passed,86.961579,84.458067,87.863936,0.1808597564678535,40904,64024,23120,4097,349632,
bipartite_h1_128,128,gudhi_edge_collapse,completed,passed,8.25019,8.138324,8.728903,1.906362156507911,41300,45164,3864,4097,12015,
bipartite_h1_128,128,cocycle,completed,passed,15.727850000000002,15.705872999999999,18.346359,1.0,1348,3956,2608,4097,,
bipartite_h1_128,128,ripser_py,completed,passed,57.225136,54.128004,58.900612,0.2748416360251202,116840,118740,1900,4097,,
bipartite_h1_128_cutoff,128,gudhi_edge_collapse,completed,passed,3.3852,3.295495,3.714989,1.4212876639489542,40964,43848,2884,4097,4224,
bipartite_h1_128_cutoff,128,cocycle,completed,passed,4.811343,4.8040009999999995,4.858193,1.0,1328,3084,1756,4097,,
bipartite_h1_128_cutoff,128,ripser_py,completed,passed,4.354538,4.320408,4.380352,1.1049032067236524,116480,117912,1432,4097,,
bipartite_h1_128_cutoff,128,gudhi_simplex_tree,completed,passed,2.33986,2.253348,2.635089,2.0562525108339815,41056,43924,2868,4097,4224,
bipartite_h1_256,256,gudhi_simplex_tree,completed,passed,913.234742,911.373423,965.568988,0.12180552040364667,42076,214100,171804,16385,2796416,
bipartite_h1_256,256,ripser_py,completed,passed,387.071673,381.173707,403.302529,0.2873809703971802,117484,123636,6152,16385,,
bipartite_h1_256,256,gudhi_edge_collapse,completed,passed,36.847783,36.125383,41.553946,3.018825664491131,41972,52712,10520,16385,33673,
bipartite_h1_256,256,cocycle,completed,passed,111.237033,109.430302,113.589695,1.0,2748,8748,5820,16385,,
bipartite_h1_256_cutoff,256,ripser_py,completed,passed,27.624498,27.046129,27.751428,1.384157569125781,117128,121316,4188,16385,,
bipartite_h1_256_cutoff,256,gudhi_edge_collapse,completed,passed,15.556657,15.486917,15.760349,2.457896834776263,41924,50620,8480,16385,16640,
bipartite_h1_256_cutoff,256,cocycle,completed,passed,38.236658,36.588606000000006,40.597091,1.0,2560,4728,1976,16385,,
bipartite_h1_256_cutoff,256,gudhi_simplex_tree,completed,passed,10.359761,10.145849,10.379317,3.690882251048069,41800,50480,8460,16385,16640,
